Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /submit/firefox-desktop/baseline/1/7ac0631b-ccac-416e-8b88-83cd8facb66c-898,1,1894,1894,1894,0.00,0.000%,.52798,0.32,0.79,620.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /ads/ga-audiences-900,1,218,218,218,0.00,0.000%,4.58716,3.04,2.30,678.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /g/collect?v=2&tid=G-NTVFCZ48DQ&gtm=2oeaq0&_p=924178972&_gaz=1&cid=1390793279.1667239669&ul=pt-br&sr=1680x1050&ir=1&_eu=EA&_s=3&sid=1667247495&sct=2&seg=0&dl=https%3A%2F%2Fwww.netshoes.com.br%2F%3Fgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%26gclsrc%3Daw.ds&dt=Loja%20de%20Artigos%20Esportivos%20Online%20%7C%20Netshoes&en=user_engagement&_ss=2-899,1,209,209,209,0.00,0.000%,4.78469,2.57,4.05,550.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /actionp/0?ti=4033370&Ver=2&mid=348a27ab-7d67-4b4a-8d13-b71bf1d3176b&sid=5c296ec0594711ed89a3c99b9bfb519c&vid=5c29c2b0594711ed8e8a4bfc4b811313&vids=1&msclkid=N&evt=pageHide-901,1,293,293,293,0.00,0.000%,3.41297,2.72,2.22,816.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /submit/activity-stream/sessions/1/2c83a7ad-ddef-4e20-8abc-baaefc5f4064-921,1,243,243,243,0.00,0.000%,4.11523,2.49,5.81,620.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /submit/firefox-desktop/newtab/1/4099ea25-3b8f-44a9-99f3-1fdcc26bac13-919,1,222,222,222,0.00,0.000%,4.50450,2.73,8.23,620.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /actionp/0?ti=4033370&Ver=2&mid=75aa094b-77d0-460e-9bb9-b665e3baa5b0&sid=4b7ab480594411edb778a7cbcd50d754&vid=4b7aea70594411ed892b832353102b23&vids=0&msclkid=N&evt=pageHide-933,1,146,146,146,0.00,0.000%,6.84932,5.46,4.45,816.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /submit/contextual-services/topsites-impression/1/d28bbf19-f7a8-42b7-a2b8-f6db753feb79-928,1,258,258,258,0.00,0.000%,3.87597,2.35,5.82,620.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /c/hotjar-58506.js-904,1,193,193,193,0.00,0.000%,5.18135,14.44,2.03,2853.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /actionp/0?ti=4033370&Ver=2&mid=1051c787-4e24-41e2-9291-2c9d26fbfbd3&sid=4b7ab480594411edb778a7cbcd50d754&vid=4b7aea70594411ed892b832353102b23&vids=1&msclkid=N&evt=pageHide-936,1,142,142,142,0.00,0.000%,7.04225,5.61,4.58,816.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /banner/countdown-907,1,116,116,116,0.00,0.000%,8.62069,6.62,5.90,786.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /actionp/0?ti=4033370&Ver=2&mid=e911884b-98ca-430a-8977-1f0b729a21d3&sid=4b7ab480594411edb778a7cbcd50d754&vid=4b7aea70594411ed892b832353102b23&vids=0&msclkid=N&evt=pageHide-937,1,148,148,148,0.00,0.000%,6.75676,5.38,4.39,816.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /instagram/feeds-906,1,34,34,34,0.00,0.000%,29.41176,49.49,19.36,1723.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /submit/contextual-services/topsites-impression/1/ce118005-9a10-4803-a4cd-bca734c82bab-926,1,247,247,247,0.00,0.000%,4.04858,2.45,6.01,620.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /v1/buckets/main/collections/ms-language-packs/records/cfr-v1-pt-BR-924,1,83,83,83,0.00,0.000%,12.04819,11.39,5.51,968.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /v1/buckets/main/collections/ms-language-packs/records/cfr-v1-pt-BR-925,1,16,16,16,0.00,0.000%,62.50000,59.08,28.56,968.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /v1/buckets/main/collections/ms-language-packs/records/cfr-v1-pt-BR-939,1,29,29,29,0.00,0.000%,34.48276,32.60,15.76,968.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /actionp/0?ti=4033370&Ver=2&mid=4105b64b-698c-4649-ad2e-2ca6e60f364c&sid=4b7ab480594411edb778a7cbcd50d754&vid=4b7aea70594411ed892b832353102b23&vids=0&msclkid=N&evt=pageHide-938,1,135,135,135,0.00,0.000%,7.40741,5.90,4.82,816.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /v1/buckets/main/collections/ms-language-packs/records/cfr-v1-pt-BR-911,1,36,36,36,0.00,0.000%,27.77778,26.26,12.70,968.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /Eqfx-dXqpGIFV5Tmm1gv8XVA8ATij7ohWbjS9ic6ZsA.15089.jpg-922,1,108,108,108,0.00,0.000%,9.25926,142.70,3.92,15782.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /minicart-905,1,195,195,195,0.00,0.000%,5.12821,4.90,3.47,978.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /recommendations-908,1,1435,1435,1435,0.00,0.000%,.69686,13.23,0.43,19439.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /analytics.js-902,1,137,137,137,0.00,0.000%,7.29927,147.33,2.84,20669.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /v1/buckets/main/collections/ms-language-packs/records/cfr-v1-pt-BR-935,1,17,17,17,0.00,0.000%,58.82353,55.61,26.88,968.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /bnn/l_netshoes/2022-03-31/4762_deal2_desk.jpg-917,1,84,84,84,0.00,0.000%,11.90476,32.88,6.10,2828.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /bnn/l_netshoes/2022-05-04/6887_deal4_desk.jpg-916,1,16,16,16,0.00,0.000%,62.50000,200.93,32.04,3292.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /obgoOYObjIFea_bXuT6L4LbBJ8j425AD87S1HMD3BWg.9991.jpg-923,1,19,19,19,0.00,0.000%,52.63158,549.44,22.20,10690.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /jserrors/1/32cd0417b6?a=958391474&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=8966994&ck=1&ref=https://www.netshoes.com.br/recommendations-929,1,235,235,235,0.00,0.000%,4.25532,1.69,4.16,407.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /bnn/l_netshoes/2022-03-18/4390_deal_desk3.jpg-918,1,30,30,30,0.00,0.000%,33.33333,109.77,17.09,3372.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /bnn/l_netshoes/2022-10-28/6681_flamengo.jpg-913,1,24,24,24,0.00,0.000%,41.66667,1749.19,21.28,42988.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /events/1/32cd0417b6?a=958391474&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=8966992&ck=1&ref=https://www.netshoes.com.br/recommendations-927,1,190,190,190,0.00,0.000%,5.26316,2.09,3.45,407.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /jserrors/1/32cd0417b6?a=853720371&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01M&rst=8970185&ck=1&ref=https://www.netshoes.com.br/-930,1,195,195,195,0.00,0.000%,5.12821,2.04,4.48,407.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /recommendations-915,1,530,530,530,0.00,0.000%,1.88679,24.99,1.17,13560.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /jserrors/1/32cd0417b6?a=958391474&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=8966980&ck=1&ref=https://www.netshoes.com.br/recommendations-931,1,187,187,187,0.00,0.000%,5.34759,2.13,5.23,407.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /tag/js/gpt.js-910,1,216,216,216,0.00,0.000%,4.62963,129.35,1.81,28610.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /g/collect?v=2&tid=G-NTVFCZ48DQ&cid=1390793279.1667239669&gtm=2oeaq0&aip=1-940,1,279,279,279,0.00,0.000%,3.58423,1.93,2.03,550.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /recommendations-909,1,515,515,515,0.00,0.000%,1.94175,30.57,1.21,16121.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /events/1/32cd0417b6?a=958391474&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01MEwZTDVUPU1dSUhcLDA8Q&rst=8966976&ck=1&ref=https://www.netshoes.com.br/recommendations-932,1,186,186,186,0.00,0.000%,5.37634,2.14,3.53,407.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /events/1/32cd0417b6?a=853720371&v=1216.487a282&to=ZAYANxMCXhFZAUJQWV1MJxsREVURSwhFFnF2N01M&rst=8970179&ck=1&ref=https://www.netshoes.com.br/-934,1,190,190,190,0.00,0.000%,5.26316,2.09,3.27,407.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /bnn/l_netshoes/2022-10-26/543_desk_mob.gif-914,1,99,99,99,0.00,0.000%,10.10101,933.85,5.15,94670.0
Cenario de testes 1 - Usuario Navegador:${ Servidor } : /bnn/l_netshoes/2022-10-27/765_desk_mob1.jpg-912,1,35,35,35,0.00,0.000%,28.57143,920.23,14.59,32981.0
