Rótulo,# Amostras,Média,Mín.,Máx.,Desvio Padrão,% de Erro,Vazão,KB/s,Sent KB/sec,Média de Bytes
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/firefox-desktop/baseline/1/7ac0631b-ccac-416e-8b88-83cd8facb66c-898,1,328,328,328,0.00,0.000%,3.04878,1.85,4.56,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /ads/ga-audiences-900,1,183,183,183,0.00,0.000%,5.46448,3.62,2.74,678.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /g/collect?v=2&tid=G-NTVFCZ48DQ&gtm=2oeaq0&_p=924178972&_gaz=1&cid=1390793279.1667239669&ul=pt-br&sr=1680x1050&ir=1&_eu=EA&_s=3&sid=1667247495&sct=2&seg=0&dl=https%3A%2F%2Fwww.netshoes.com.br%2F%3Fgclid%3DEAIaIQobChMIzvrJwYOL-wIV6hXUAR2dkg_1EAAYASAAEgIA2fD_BwE%26gclsrc%3Daw.ds&dt=Loja%20de%20Artigos%20Esportivos%20Online%20%7C%20Netshoes&en=user_engagement&_ss=2-899,1,189,189,189,0.00,0.000%,5.29101,2.84,4.47,550.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /actionp/0?ti=4033370&Ver=2&mid=348a27ab-7d67-4b4a-8d13-b71bf1d3176b&sid=5c296ec0594711ed89a3c99b9bfb519c&vid=5c29c2b0594711ed8e8a4bfc4b811313&vids=1&msclkid=N&evt=pageHide-901,1,238,238,238,0.00,0.000%,4.20168,3.35,2.73,816.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/activity-stream/sessions/1/2c83a7ad-ddef-4e20-8abc-baaefc5f4064-921,1,246,246,246,0.00,0.000%,4.06504,2.46,5.74,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/firefox-desktop/newtab/1/4099ea25-3b8f-44a9-99f3-1fdcc26bac13-919,1,232,232,232,0.00,0.000%,4.31034,2.61,7.88,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /actionp/0?ti=4033370&Ver=2&mid=75aa094b-77d0-460e-9bb9-b665e3baa5b0&sid=4b7ab480594411edb778a7cbcd50d754&vid=4b7aea70594411ed892b832353102b23&vids=0&msclkid=N&evt=pageHide-933,1,140,140,140,0.00,0.000%,7.14286,5.69,4.65,816.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/contextual-services/topsites-impression/1/d28bbf19-f7a8-42b7-a2b8-f6db753feb79-928,1,239,239,239,0.00,0.000%,4.18410,2.53,6.28,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /c/hotjar-58506.js-904,1,89,89,89,0.00,0.000%,11.23596,31.29,4.41,2852.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /actionp/0?ti=4033370&Ver=2&mid=1051c787-4e24-41e2-9291-2c9d26fbfbd3&sid=4b7ab480594411edb778a7cbcd50d754&vid=4b7aea70594411ed892b832353102b23&vids=1&msclkid=N&evt=pageHide-936,1,134,134,134,0.00,0.000%,7.46269,5.95,4.85,816.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /banner/countdown-907,1,91,91,91,0.00,0.000%,10.98901,8.43,7.52,786.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /actionp/0?ti=4033370&Ver=2&mid=e911884b-98ca-430a-8977-1f0b729a21d3&sid=4b7ab480594411edb778a7cbcd50d754&vid=4b7aea70594411ed892b832353102b23&vids=0&msclkid=N&evt=pageHide-937,1,132,132,132,0.00,0.000%,7.57576,6.04,4.93,816.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /instagram/feeds-906,1,23,23,23,0.00,0.000%,43.47826,73.16,28.62,1723.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /submit/contextual-services/topsites-impression/1/ce118005-9a10-4803-a4cd-bca734c82bab-926,1,249,249,249,0.00,0.000%,4.01606,2.43,5.96,620.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /v1/buckets/main/collections/ms-language-packs/records/cfr-v1-pt-BR-924,1,91,91,91,0.00,0.000%,10.98901,10.39,5.02,968.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /v1/buckets/main/collections/ms-language-packs/records/cfr-v1-pt-BR-925,1,17,17,17,0.00,0.000%,58.82353,55.61,26.88,968.0
Cenario de testes 2 - Usuario Buscador:${ Servidor } : /v1/buckets/main/collections/ms-language-packs/records/cfr-v1-pt-BR-939,1,19,19,19,0.00,0.000%,52.63158,49.75,24.05,968.0
