"${ Servidor } : /metadata-1,028",1,94,94,94,94,94,94,94,0.000%,10.63830,4.98,8.06
${ Servidor } : /produtos/tenis-couro-skechers-ralcon-top-point-masculino/10/EUZ-7483-010/EUZ-7483-010_detalhe1.jpg-964,1,51,51,51,51,51,51,51,0.000%,19.60784,285.83,10.19
${ Servidor } : /produtos/tenis-skechers-go-walk-flex-masculino/72/EUZ-7351-172/EUZ-7351-172_detalhe1.jpg-959,1,16,16,16,16,16,16,16,0.000%,62.50000,517.09,31.86
${ Servidor } : /produtos/tenis-infantil-skechers-skech-o-saurus-lights-dino-tracker-menino/72/EUZ-7482-172/EUZ-7482-172_detalhe1.jpg-965,1,20,20,20,20,20,20,20,0.000%,50.00000,679.35,26.86
${ Servidor } : /produtos/tenis-skechers-max-cushioning-premier-trail-alltrack-masculino/72/EUZ-7481-172/EUZ-7481-172_detalhe1.jpg-966,1,22,22,22,22,22,22,22,0.000%,45.45455,501.64,24.28
${ Servidor } : /produtos/tenis-skechers-max-cushioning-elite-trail-alltrack-feminino/76/EUZ-7480-876/EUZ-7480-876_detalhe1.jpg-967,1,16,16,16,16,16,16,16,0.000%,62.50000,1091.25,33.20
${ Servidor } : /produtos/tenis-couro-skechers-hillcrest-vast-adventure-feminino/42/EUZ-7479-342/EUZ-7479-342_detalhe1.jpg-968,1,15,15,15,15,15,15,15,0.000%,66.66667,1340.43,35.09
${ Servidor } : /produtos/tenis-skechers-go-run-8-bionic-masculino/81/EUZ-6719-081/EUZ-6719-081_detalhe1.jpg-963,1,15,15,15,15,15,15,15,0.000%,66.66667,704.88,34.18
${ Servidor } : /safeframe/1-0-40/html/container.html-969,1,160,160,160,160,160,160,160,0.000%,6.25000,21.30,3.52
${ Servidor } : /-970,1,65,65,65,65,65,65,65,0.000%,15.38462,685.61,7.09
${ Servidor } : /css-972,1,177,177,177,177,177,177,177,0.000%,5.64972,11.32,2.69
"${ Servidor } : /v2/auth/soft-login-1,083",2,55,44,67,67,67,44,67,0.000%,.01673,0.01,0.01
"${ Servidor } : /2.57.5/netshoesbr/fonts/trebuchet-ms/TrebuchetMS.woff2-1,087",1,39,39,39,39,39,39,39,0.000%,25.64103,1438.33,13.20
"${ Servidor } : /2.57.5/netshoesbr/fonts/ns-icons.woff2-1,088",1,15,15,15,15,15,15,15,0.000%,66.66667,2126.11,33.27
"${ Servidor } : /2.57.5/netshoesbr/svg/user.svg-1,102",1,15,15,15,15,15,15,15,0.000%,66.66667,69.86,34.31
"${ Servidor } : /recommendations-1,098",2,574,529,619,619,619,529,619,0.000%,.01666,0.35,0.01
"${ Servidor } : /recommendations-1,096",2,684,74,1294,1294,1294,74,1294,0.000%,.01652,0.37,0.01
"${ Servidor } : /minicart-1,107",2,64,58,70,70,70,58,70,0.000%,.01652,0.02,0.01
"${ Servidor } : /banner/countdown-1,106",1,17,17,17,17,17,17,17,0.000%,58.82353,103.06,41.88
"${ Servidor } : /2.57.5/netshoesbr/svg/close_news.svg-1,111",1,18,18,18,18,18,18,18,0.000%,55.55556,47.85,23.93
"${ Servidor } : /gtm.js-1,117",1,301,301,301,301,301,301,301,0.000%,3.32226,360.92,1.32
"${ Servidor } : /gtm.js-1,118",1,162,162,162,162,162,162,162,0.000%,6.17284,731.06,2.46
"${ Servidor } : /pagead/ppub_config-1,125",1,196,196,196,196,196,196,196,0.000%,5.10204,5.33,2.34
"${ Servidor } : /frdmprcsts/2IC-7496-026/lazy-1,134",2,18,16,20,20,20,16,20,0.000%,.01654,0.01,0.01
"${ Servidor } : /frdmprcsts/NQQ-6927-326/lazy-1,135",2,15,15,16,16,16,15,16,0.000%,.01654,0.01,0.01
"${ Servidor } : /recommendations-1,097",2,82,75,89,89,89,75,89,0.000%,.01653,0.38,0.01
"${ Servidor } : /webstore-recommendations-view/ff6fa9c5b/netshoesbr/fonts/source-sans-pro-v14-latin-700.woff2-1,141",1,16,16,16,16,16,16,16,0.000%,62.50000,1009.34,34.48
"${ Servidor } : /webstore-recommendations-view/ff6fa9c5b/netshoesbr/fonts/source-sans-pro-v14-latin-regular.woff2-1,143",1,16,16,16,16,16,16,16,0.000%,62.50000,1030.58,34.73
"${ Servidor } : /frame-image-br/bg.png-1,153",1,141,141,141,141,141,141,141,0.000%,7.09220,3.57,3.48
"${ Servidor } : /j/collect?v=1&_v=j98&a=878892062&t=pageview&_s=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dtop&dp=%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dtop&ul=pt-br&de=UTF-8&sd=24-bit&sr=1680x1050&vp=1306x447&je=0&_u=IEBAAEABSAAAACAAI~&jid=1201802168&gjid=597909006&cid=527073485.1672956114&tid=UA-1776034-5&_gid=997865534.1672956114&_r=1&_slc=1&cd16=undefined&cd17=undefined&z=730604057-1,187",2,142,72,213,213,213,72,213,0.000%,.01656,0.01,0.02
"${ Servidor } : /gtm.js-1,186",1,97,97,97,97,97,97,97,0.000%,10.30928,649.36,4.23
"${ Servidor } : /j/collect?v=1&_v=j98&a=77995994&t=pageview&_s=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dbottom&dp=%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dbottom&ul=pt-br&de=UTF-8&sd=24-bit&sr=1680x1050&vp=&je=0&_u=AACAAEABSAAAACAAI~&jid=&gjid=&cid=527073485.1672956114&tid=UA-1776034-5&_gid=997865534.1672956114&_slc=1&cd16=undefined&cd17=undefined&z=1461716399-1,200",2,67,65,70,70,70,65,70,0.000%,.01659,0.01,0.01
"${ Servidor } : /2.57.5/netshoesbr/svg/payment-flags/mastercard.svg-1,206",1,26,26,26,26,26,26,26,0.000%,38.46154,125.68,17.09
"${ Servidor } : /2.57.5/netshoesbr/svg/payment-flags/ncard.svg-1,208",1,23,23,23,23,23,23,23,0.000%,43.47826,128.31,19.11
"${ Servidor } : /2.57.5/netshoesbr/svg/payment-flags/visa.svg-1,209",1,16,16,16,16,16,16,16,0.000%,62.50000,78.06,27.40
"${ Servidor } : /box/CheckActiveAccount-1,204",1,200,200,200,200,200,200,200,0.000%,5.00000,2.14,2.15
"${ Servidor } : /2.57.5/netshoesbr/svg/payment-flags/amex.svg-1,212",1,23,23,23,23,23,23,23,0.000%,43.47826,110.65,19.06
"${ Servidor } : /webstore-recommendations-view/ffa57dcf4/netshoesbr/fonts/source-sans-pro-v14-latin-regular.woff2-1,214",1,16,16,16,16,16,16,16,0.000%,62.50000,1030.58,34.73
"${ Servidor } : /2.57.5/netshoesbr/svg/payment-flags/hipercard.svg-1,215",1,15,15,15,15,15,15,15,0.000%,66.66667,147.92,29.56
"${ Servidor } : /2.57.5/netshoesbr/svg/payment-flags/elo.svg-1,217",1,14,14,14,14,14,14,14,0.000%,71.42857,109.17,31.25
"${ Servidor } : /2.57.5/netshoesbr/svg/payment-flags/boleto.svg-1,218",1,16,16,16,16,16,16,16,0.000%,62.50000,93.81,27.53
"${ Servidor } : /2.57.5/netshoesbr/svg/payment-flags/pix.svg-1,216",1,13,13,13,13,13,13,13,0.000%,76.92308,91.12,33.65
"${ Servidor } : /2.57.5/netshoesbr/svg/payment-flags/dinersclub.svg-1,213",1,15,15,15,15,15,15,15,0.000%,66.66667,75.13,29.62
"${ Servidor } : /produtos/tenis-nike-precision-vi-masculino/26/2IC-7496-026/2IC-7496-026_detalhe1.jpg-1,221",1,14,14,14,14,14,14,14,0.000%,71.42857,339.56,35.92
"${ Servidor } : /produtos/tenis-adidas-ultimashow-masculino/26/NQQ-6927-326/NQQ-6927-326_detalhe1.jpg-1,223",1,15,15,15,15,15,15,15,0.000%,66.66667,256.77,33.53
"${ Servidor } : /produtos/tenis-nike-downshifter-12-masculino/04/2IC-7643-304/2IC-7643-304_zoom1.jpg-1,224",1,15,15,15,15,15,15,15,0.000%,66.66667,398.37,37.37
"${ Servidor } : /action/0-1,222",2,183,140,227,227,227,140,227,0.000%,.01664,0.01,0.01
"${ Servidor } : /Scripts/i/Freedom.Full.min.js-1,229",1,92,92,92,92,92,92,92,0.000%,10.86957,346.18,4.41
"${ Servidor } : /produtos/chuteira-society-nike-beco-2-tf/58/HZM-3221-058/HZM-3221-058_zoom1.jpg-1,228",1,20,20,20,20,20,20,20,0.000%,50.00000,490.19,27.83
"${ Servidor } : /produtos/tenis-adidas-grand-court-20-masculino/26/3ZP-8981-026/3ZP-8981-026_zoom1.jpg-1,232",1,20,20,20,20,20,20,20,0.000%,50.00000,211.04,28.12
"${ Servidor } : /produtos/tenis-mizuno-wave-titan-2/06/2FU-6367-006/2FU-6367-006_zoom1.jpg-1,225",1,18,18,18,18,18,18,18,0.000%,55.55556,397.73,30.60
"${ Servidor } : /produtos/tenis-nike-revolution-6-next-nature-masculino/26/2IC-4365-026/2IC-4365-026_zoom1.jpg-1,233",1,15,15,15,15,15,15,15,0.000%,66.66667,539.00,38.02
"${ Servidor } : /produtos/tenis-adidas-runfalcon-20-feminino/06/NQQ-6922-006/NQQ-6922-006_zoom1.jpg-1,234",1,15,15,15,15,15,15,15,0.000%,66.66667,794.79,37.30
"${ Servidor } : /produtos/tenis-adidas-breaknet-feminino/28/NQQ-4379-028/NQQ-4379-028_zoom1.jpg-1,226",1,14,14,14,14,14,14,14,0.000%,71.42857,360.98,39.69
"${ Servidor } : /2.57.5/netshoesbr/svg/footer/mobile-vertical.svg-1,235",1,14,14,14,14,14,14,14,0.000%,71.42857,72.89,37.18
"${ Servidor } : /2.57.5/netshoesbr/svg/footer/mobile-horizontal.svg-1,236",1,15,15,15,15,15,15,15,0.000%,66.66667,67.51,34.83
"${ Servidor } : /2.57.5/netshoesbr/images/ncard-vertical.png-1,242",1,15,15,15,15,15,15,15,0.000%,66.66667,203.71,29.69
"${ Servidor } : /action/0-1,231",2,139,137,142,142,142,137,142,0.000%,.01669,0.01,0.01
"${ Servidor } : /j/collect?v=1&_v=j98&a=1988082464&t=pageview&_s=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dmiddle&dp=%2Frecommendations%3Fname%3Dhome%26source%3Ddesktop%26uuid%3Dnull%26position%3Dmiddle&ul=pt-br&de=UTF-8&sd=24-bit&sr=1680x1050&vp=1306x379&je=0&_u=AACAAEABSAAAACAAI~&jid=&gjid=&cid=527073485.1672956114&tid=UA-1776034-5&_gid=997865534.1672956114&_slc=1&cd16=undefined&cd17=undefined&z=1037576075-1,240",2,70,64,76,76,76,64,76,0.000%,.01663,0.01,0.02
"${ Servidor } : /i/adsct-1,227",2,173,153,194,194,194,153,194,0.000%,.01662,0.01,0.01
"${ Servidor } : /i/adsct-1,230",2,147,145,150,150,150,145,150,0.000%,.01663,0.01,0.01
"${ Servidor } : /c/hotjar-58506.js-1,251",1,75,75,75,75,75,75,75,0.000%,13.33333,57.83,5.23
"${ Servidor } : /i/adsct-1,249",2,175,159,191,191,191,159,191,0.000%,.01664,0.01,0.01
"${ Servidor } : /gtm/js-1,246",1,110,110,110,110,110,110,110,0.000%,9.09091,503.70,3.84
"${ Servidor } : /i/adsct-1,256",2,142,140,145,145,145,140,145,0.000%,.01660,0.01,0.01
"${ Servidor } : /produtos/tenis-nike-downshifter-12-masculino/72/2IC-7643-172/2IC-7643-172_zoom1.jpg-1,263",1,29,29,29,29,29,29,29,0.000%,34.48276,204.64,19.43
"${ Servidor } : /produtos/oculos-oakley-gibston-masculino/06/D63-9866-006/D63-9866-006_zoom1.jpg-1,267",1,24,24,24,24,24,24,24,0.000%,41.66667,124.19,23.32
"${ Servidor } : /produtos/chinelo-rider-way-logomania-dedo-masculino/26/G71-2039-026/G71-2039-026_zoom1.jpg-1,264",1,15,15,15,15,15,15,15,0.000%,66.66667,566.21,38.02
"${ Servidor } : /produtos/relogio-wr-digital-aco-vintage-unisex-retro-masculino-femino/64/GY1-0001-064/GY1-0001-064_zoom1.jpg-1,265",1,17,17,17,17,17,17,17,0.000%,58.82353,879.48,34.58
"${ Servidor } : /track/createSession-1,262",1,144,144,144,144,144,144,144,0.000%,6.94444,3.03,3.17
"${ Servidor } : /track/acquireConsumer-1,261",1,150,150,150,150,150,150,150,0.000%,6.66667,2.97,3.05
"${ Servidor } : /produtos/kit-mochila-de-rodinha-up4you-panda-37662/08/F44-2638-008/F44-2638-008_zoom1.jpg-1,268",1,15,15,15,15,15,15,15,0.000%,66.66667,1256.90,37.96
"${ Servidor } : /js/v2/ktag.js-1,248",1,665,665,665,665,665,665,665,0.000%,1.50376,5.75,0.61
"${ Servidor } : /produtos/cueca-boxer-microfibra-masculina-keeper-basica-box-preta/06/W74-0122-006/W74-0122-006_zoom1.jpg-1,269",1,16,16,16,16,16,16,16,0.000%,62.50000,389.53,36.50
"${ Servidor } : /produtos/tenis-adidas-breaknet-masculino/28/NQQ-4378-028/NQQ-4378-028_zoom1.jpg-1,270",1,15,15,15,15,15,15,15,0.000%,66.66667,336.91,37.30
"${ Servidor } : /box/GetInitialData-1,260",2,133,63,203,203,203,63,203,0.000%,.01676,0.03,0.01
"${ Servidor } : /produtos/mochila-de-rodinha-infantil-escolar-estojo-lancheira-menina/18/D4S-0009-018/D4S-0009-018_zoom1.jpg-1,266",1,23,23,23,23,23,23,23,0.000%,43.47826,580.42,25.52
"${ Servidor } : /action/0-1,271",2,134,134,135,135,135,134,135,0.000%,.01677,0.01,0.01
"${ Servidor } : /j/collect?v=1&_v=j98&a=1168956177&t=pageview&_s=1&dl=https%3A%2F%2Fwww.netshoes.com.br%2F&dp=%2F&ul=pt-br&de=UTF-8&dt=Loja%20de%20Artigos%20Esportivos%20Online%20%7C%20Netshoes&sd=24-bit&sr=1680x1050&vp=1663x925&je=0&_u=AACAAAABSAAAACAAI~&jid=&gjid=&cid=527073485.1672956114&tid=UA-1776034-5&_gid=997865534.1672956114&_slc=1&cd16=Home&cd17=Home&cd18=&cd19=Home&cd43=&z=1635708894-1,272",2,70,70,71,71,71,70,71,0.000%,.01670,0.01,0.01
"${ Servidor } : /box/GetInitialData-1,274",2,76,57,95,95,95,57,95,0.000%,.01670,0.03,0.01
